Iteration	Log-Likelihood (x10^6)	Perplexity
1	-2.6082	731.2405
2	-2.5872	693.4786
3	-2.5653	656.0942
4	-2.5483	628.4784
5	-2.5381	612.4915
6	-2.5341	606.2603
7	-2.5313	601.9915
8	-2.5289	598.4253
9	-2.5272	595.9014
10	-2.5262	594.3940
11	-2.5252	592.8268
12	-2.5237	590.6037
13	-2.5228	589.2583
14	-2.5220	588.1179
15	-2.5216	587.3949
16	-2.5213	586.9902
17	-2.5210	586.5201
18	-2.5208	586.3219
19	-2.5207	586.1063
20	-2.5205	585.8020
21	-2.5204	585.7415
22	-2.5204	585.7399
23	-2.5204	585.7398
24	-2.5204	585.7395
25	-2.5204	585.7396
